alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_mean
0.1,fuzzy-rarity-0.001,0.033038565463031196,0.07810326719430674,0.8937730808055827,0.8985904188073837,13.749713370973673
0.1,fuzzy-rarity-0.01,0.03696880373372636,0.08263724349319744,0.8885891644394143,0.8971791165654176,12.997512276375279
0.1,fuzzy-rarity-0.1,0.04384672070744289,0.09282267220450847,0.876625199686364,0.8961041621763739,11.576892292383238
0.1,fuzzy-rarity-10,0.0625153524932449,0.119812313766688,0.8442089314892479,0.8944736199340275,9.484392238302291
0.1,fuzzy-rarity-1000,0.06435765168263326,0.12170748173909471,0.842160101549025,0.8992258707978407,10.026997209423065
0.1,fuzzy-RErarity-1e-15,0.0040530582166543845,0.014401339675144377,0.9739898598494728,0.8915447732455746,6810.96067233435
0.1,fuzzy-RErarity-1e-10,0.022598870056497175,0.04772726921049059,0.9339461135662649,0.8985961097427012,3356.085426266035
0.1,fuzzy-RErarity-1e-05,0.035126504544338,0.08022962860188666,0.8911758782980651,0.8987133872548212,13.753325978324355
0.1,fuzzy-RErarity-0.0001,0.03230164578727585,0.07662671187815825,0.8955523743461279,0.9012388092754348,14.269885564713263
0.1,fuzzy-RErarity-0.001,0.0325472856791943,0.0773933505858295,0.8946663232991781,0.9000909140445856,13.984857334458217
0.1,fuzzy-RErarity-0.01,0.035863424220093344,0.08077316190018427,0.8909585122866184,0.9005493344060502,13.669868258809787
0.1,fuzzy-RErarity-0.1,0.04126750184229919,0.08825782716914596,0.8826036705972528,0.9031074414277711,12.965366560668008
0.1,fuzzy-RErarity-10,0.057971014492753624,0.11379218582941796,0.8516329505464046,0.9007538788490037,10.488221169446428
0.1,fuzzy-RErarity-1000,0.06337509211495947,0.12051621138649388,0.8435947720000783,0.9000470738102213,10.169100309343024
0.1,cvx-cw_weight=0,0.06435765168263326,0.12171356366846615,0.8421568646180159,0.8992699049553767,10.035001189780864
0.1,cvx-cw_weight=0.25,0.057971014492753624,0.11421796644466731,0.8503159983518922,0.8939992854885062,9.554805633071581
0.1,cvx-cw_weight=0.5,0.050724637681159424,0.10383039997924289,0.8627357279782683,0.8960205344221781,10.600449953490385
0.1,cvx-cw_weight=0.75,0.042495701301891425,0.09031163636875529,0.8796476320461991,0.9024189284510815,13.195491812144418
0.1,cvx-cw_weight=0.9,0.03328420535494964,0.07618181178969494,0.8972151021498082,0.9097146284706266,17.898782097042854
0.1,cvx-cw_weight=0.95,0.027388847948906902,0.06619560383476394,0.9097799742553044,0.9154154780646,22.559543124148224
0.1,cvx-cw_weight=0.975,0.022967329894374847,0.057225822057893096,0.921336170527651,0.9212877207382331,28.339996106171718
0.1,cvx-cw_weight=0.99,0.016826332596413657,0.04697493144679161,0.9343082591563628,0.9273893127217088,38.09771345750319
0.1,cvx-cw_weight=0.999,0.008843036109064112,0.02946369883084421,0.9568950605976507,0.9379739949425316,77.17208557769268
0.1,cvx-cw_weight=1,0.00012281994595922377,0.0021478197707076882,0.9924874742470691,0.9534538808692379,7427.5672875159535
0.05,standard,0.028494227462539917,0.07696478991495177,0.9116964613177188,0.9484803305628579,30.966556341532005
0.05,classwise,0.0,0.000468236947462539,0.9984912063889163,0.9857450073179856,7830.816232937461
0.05,classwise-exact,0.07246376811594203,0.10189997619125532,0.8866534323357349,0.9294977864806333,5938.690137798257
0.05,clustered,0.02702038811102923,0.07307642968858101,0.9156618548692947,0.9413992817113258,28.64334696173232
0.05,prevalence-adjusted,0.018300171947924344,0.058750949870652595,0.9312009696025297,0.9483902828173357,32.03590974971337
0.05,fuzzy-rarity-1e-15,0.0,0.000468236947462539,0.9984912063889163,0.9857450073179856,7830.816232937461
0.05,fuzzy-rarity-1e-10,0.0,0.00048066438120811526,0.9984628215888428,0.9856812380656522,7815.3499037359115
0.05,fuzzy-rarity-1e-05,0.011667894866126259,0.042498413535995413,0.9494917276386069,0.9557064189386476,56.710212646288966
0.05,fuzzy-rarity-0.0001,0.01265045443380005,0.0436475693727499,0.9479762267624222,0.9527266744586504,47.482791442230734
0.05,fuzzy-rarity-0.001,0.013264554163596167,0.044778059388877495,0.9467033837440653,0.9510860861860658,45.268414562917776
0.05,fuzzy-rarity-0.01,0.014738393515106854,0.04809290497269669,0.9431221096935809,0.9491071535998258,42.903952235706406
0.05,fuzzy-rarity-0.1,0.019528371407516582,0.057369312676259096,0.9330931578648256,0.9471555558633228,36.79566054470331
