alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_train_mean
0.2,standard,0.42424242424242425,0.297355623100304,0.5309696969696971,0.8012334811327719,0.8812636200584538
0.2,classwise,0.006060606060606061,0.025805471124620068,0.8532121212121214,0.807557835034981,67.60600672263068
0.2,classwise-exact,0.045454545454545456,0.06446808510638301,0.777939393939394,0.8016890392457452,25.510589837015292
0.2,clustered,0.4303030303030303,0.3076595744680851,0.5185454545454545,0.7895539960133235,0.8611551372971378
0.2,prevalence-adjusted,0.03636363636363636,0.04145896656534956,0.8485454545454545,0.8027401234219407,1.4096462801877818
0.2,cvx-cw_weight=0,0.42424242424242425,0.297355623100304,0.5309696969696971,0.8012334811327719,0.8812636200584538
0.2,cvx-cw_weight=0.25,0.3939393939393939,0.2663829787234043,0.560939393939394,0.8061311868396253,0.8938909613622446
0.2,cvx-cw_weight=0.5,0.33636363636363636,0.2323404255319149,0.594030303030303,0.8113004034446968,0.9193471057511498
0.2,cvx-cw_weight=0.75,0.25757575757575757,0.18221884498480245,0.6428484848484848,0.8159464447793214,0.9681005528364899
0.2,cvx-cw_weight=0.9,0.1606060606060606,0.13413373860182373,0.6917878787878788,0.8136799020267775,1.046046849961132
0.2,cvx-cw_weight=0.95,0.12727272727272726,0.10677811550151979,0.7226363636363637,0.8135071460521914,1.1128873872504528
0.2,cvx-cw_weight=0.975,0.0696969696969697,0.086048632218845,0.7476363636363637,0.8123981725562064,1.1828929460148436
0.2,cvx-cw_weight=0.99,0.05454545454545454,0.06559270516717326,0.7736666666666667,0.809608193966135,1.29190365966465
0.2,cvx-cw_weight=0.999,0.02727272727272727,0.04313069908814591,0.8114848484848484,0.8082186331519496,1.663072476733531
0.2,cvx-cw_weight=1,0.006060606060606061,0.025805471124620068,0.8532121212121214,0.807557835034981,67.60600672263068
0.2,fuzzy-rarity-1e-15,0.0,0.019331306990881467,0.8509696969696972,0.8037869082413025,54.35143511662548
0.2,fuzzy-rarity-1e-10,0.0,0.02012158054711247,0.8484848484848485,0.8033861560709958,49.43355435212166
0.2,fuzzy-rarity-1e-05,0.08787878787878788,0.076048632218845,0.7713333333333334,0.8022945971415791,1.475949615012138
0.2,fuzzy-rarity-0.0001,0.10303030303030303,0.08911854103343467,0.7609393939393939,0.8047973439528894,1.3843278020732455
0.2,fuzzy-rarity-0.001,0.13333333333333333,0.11100303951367785,0.7385757575757577,0.8043094320940474,1.2939496323832769
0.2,fuzzy-rarity-0.01,0.18484848484848485,0.14334346504559273,0.7040909090909092,0.8004533867206329,1.1572795493926615
0.2,fuzzy-rarity-0.1,0.25757575757575757,0.18668693009118537,0.6550303030303031,0.7930665705463658,1.0131467817794126
0.2,fuzzy-rarity-10,0.3787878787878788,0.27273556231003043,0.5572727272727273,0.7801468729778909,0.7912639240533814
0.2,fuzzy-rarity-1000,0.4,0.28516717325227964,0.5434242424242425,0.7943594175457187,0.768319776607156
0.2,fuzzy-RErarity-1e-15,0.00909090909090909,0.025045592705167184,0.8596969696969696,0.802425966378161,84.64798360164505
0.2,fuzzy-RErarity-1e-10,0.012121212121212121,0.026139817629179347,0.8568181818181818,0.802454541901358,79.65572808956559
0.2,fuzzy-RErarity-1e-05,0.08484848484848485,0.07881458966565352,0.7700909090909092,0.8000425592898678,1.183147563480655
0.2,fuzzy-RErarity-0.0001,0.10909090909090909,0.0964133738601824,0.7521212121212121,0.7999305154451137,1.1020842760795078
0.2,fuzzy-RErarity-0.001,0.16666666666666666,0.12392097264437693,0.7228181818181818,0.80054106754333,1.0357656546530767
0.2,fuzzy-RErarity-0.01,0.20606060606060606,0.15711246200607906,0.6893939393939394,0.8082086447471848,0.9972862372810692
0.2,fuzzy-RErarity-0.1,0.3,0.20328267477203646,0.6396060606060606,0.8093754641351127,0.9619389665041017
0.2,fuzzy-RErarity-10,0.3939393939393939,0.2715501519756839,0.5610606060606061,0.8042659173915498,0.8987269560987896
0.2,fuzzy-RErarity-1000,0.42424242424242425,0.29589665653495445,0.5326666666666666,0.8027191043440876,0.8828942922780945
0.1,standard,0.2787878787878788,0.24671732522796358,0.6680909090909091,0.9001885202829758,1.1504363630046859
0.1,classwise,0.0,0.015075987841945297,0.9396969696969696,0.9032464921156743,125.21359969079373
0.1,classwise-exact,0.024242424242424242,0.04617021276595746,0.8788787878787878,0.8970946336209704,51.54205999991315
0.1,clustered,0.23636363636363636,0.2266869300911854,0.6825757575757576,0.8804448748626594,1.2385203264036966
0.1,prevalence-adjusted,0.021212121212121213,0.0572340425531915,0.8701818181818183,0.9031342311316863,1.6096742911489705
0.1,cvx-cw_weight=0,0.2787878787878788,0.24671732522796358,0.6680909090909091,0.9001885202829758,1.1504363630046859
0.1,cvx-cw_weight=0.25,0.24545454545454545,0.22483282674772037,0.6886666666666666,0.9007978564014817,1.1594812977977738
0.1,cvx-cw_weight=0.5,0.19696969696969696,0.19857142857142862,0.7143030303030302,0.8992153456639466,1.1892255512079455
0.1,cvx-cw_weight=0.75,0.13636363636363635,0.15802431610942252,0.7551515151515151,0.9006522428311482,1.274624414266916
0.1,cvx-cw_weight=0.9,0.08787878787878788,0.11462006079027356,0.8007878787878787,0.9018626203494204,1.4105906621443802
0.1,cvx-cw_weight=0.95,0.05454545454545454,0.09003039513677814,0.828090909090909,0.9018307008820194,1.532392483508275
0.1,cvx-cw_weight=0.975,0.048484848484848485,0.07203647416413375,0.8494848484848486,0.9014629973031307,1.682011360724724
