dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.2,clustered,clustered,,mean,0.5901942645698427,0.4665802028597729,0.3583542907346995,0.8074547045310533,1.0220172280791977
plantnet,0.2,rc3p,rc3p,,mean,0.1692876965772433,0.1565169552107237,0.73903740146816,0.8563053988985112,119.40765620982258
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.013876040703052728,0.020864920301031927,0.915474807574609,0.8100805683164864,568.3472615068141
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.013876040703052728,0.021345757721858143,0.914062305426524,0.8095510512455115,568.3240228850605
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.043478260869565216,0.04572330910895484,0.8851029627854289,0.8100412959467916,448.96187966058113
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.22571692876965774,0.2015348747742199,0.6831906385323949,0.8046283067729028,2.1736307534070454
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.242368177613321,0.2178708637850329,0.6635795136624888,0.805613309271301,1.941083826176395
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.2913968547641073,0.2563150536448921,0.6153627407218321,0.8056759942001135,1.6959372589354589
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.3515263644773358,0.305532457949885,0.5513353380824307,0.8024521248736946,1.4854718436616097
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.4514338575393155,0.3769562878355973,0.46426095443128795,0.7953577677244476,1.284777577783492
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.5855689176688251,0.45908022183682,0.3669490640256578,0.7862018278836407,1.0248135767549498
plantnet,0.2,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.5911193339500462,0.4669206164599904,0.3578601522032286,0.805825850934434,1.0183209051169966
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.014801110083256245,0.02264999177559225,0.9145943153320389,0.7914239617467734,595.9523013628182
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.014801110083256245,0.02264999177559225,0.9145943153320389,0.7914239617467734,595.9523013628182
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.03885291396854764,0.04503233242287347,0.8850005759349112,0.7937284563414608,467.63136410388273
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.23126734505087881,0.20707897781923018,0.6756477266087914,0.8007230317567422,2.0529699151452814
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.2506938020351526,0.22507338619207576,0.6532982559119512,0.8006562528800542,1.8746464386731807
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.29879740980573544,0.2631967126995623,0.6059678521590016,0.8012157403925778,1.6372139367446645
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.35892691951896394,0.3081618654078443,0.5480567612560393,0.8042727404440336,1.4868218050912831
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.4495837187789084,0.37498442608429733,0.4677265958644773,0.8029073396370969,1.3148945744407303
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.5661424606845513,0.44844485387227334,0.3795664318648218,0.8036984275931128,1.081672666495243
plantnet,0.2,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.5911193339500462,0.46700952831227727,0.3577618583124641,0.8055975109008283,1.016617382360504
plantnet,0.2,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.5892691951896393,0.46583630638855916,0.3579244168453529,0.8106633555375006,1.0335240421702236
plantnet,0.2,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.5374653098982424,0.4346625790928661,0.39140738736203706,0.813192664130485,1.0612946772949345
plantnet,0.2,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.4782608695652174,0.3986121642625231,0.4320538131283189,0.8140558418027782,1.1221072255078426
plantnet,0.2,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.39037927844588344,0.3381555632449936,0.5022709442200469,0.8126638538602384,1.2745885831833377
plantnet,0.2,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.3089731729879741,0.280943369858115,0.5723154093566811,0.8091418476706458,1.5396952944201594
plantnet,0.2,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.26549491211840887,0.24589073481455043,0.6180616116913582,0.8090512378841761,1.79448444330162
plantnet,0.2,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.21369102682701202,0.20224012987322,0.675025207619273,0.8101120250021168,2.1048791463101053
plantnet,0.2,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.1711378353376503,0.16679346600420236,0.7236183456493481,0.8111200125837634,2.642131653381332
plantnet,0.2,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.09805735430157261,0.09664535930260924,0.8210457731609608,0.8140084996305049,5.30422345075855
plantnet,0.2,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.0037002775208140612,0.014699873235807997,0.9297314339502115,0.8166434688120459,630.8534970429416
plantnet,0.2,Standard,standard_softmax,score=softmax,mean,0.5892691951896393,0.46583630638855916,0.3579244168453529,0.8106633555375006,1.0335240421702236
plantnet,0.05,Standard,standard,score=softmax,mean,0.28862164662349676,0.33438339259419053,0.6329180388336507,0.9580599000336689,2.9280984829004884
plantnet,0.05,classwise,classwise,,mean,0.0,0.001765628720408749,0.9926747641268676,0.9599857874422881,896.6678130624839
plantnet,0.05,clustered,clustered,,mean,0.301572617946346,0.34549782595269063,0.6188236675326282,0.9287609109237926,2.3088518899460015
plantnet,0.05,rc3p,rc3p,,mean,0.16466234967622573,0.2011708235662823,0.7740887939195706,0.9491666543063927,125.63004628439188
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0,0.0020609034695863145,0.991321493195731,0.9585032844524822,855.0151067112369
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0,0.0020609034695863145,0.991321493195731,0.9585032844524822,855.0151067112369
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.0,0.0021489562237473883,0.9912335218964766,0.9587030063468833,842.3724929287735
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.07400555041628122,0.09320759730022482,0.8911652459539295,0.9519539935756918,12.783138338904603
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.08140610545790934,0.09939922762729536,0.8848799369174559,0.9517010995942352,10.852532784777578
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.11378353376503238,0.13579474978569744,0.8467159367697525,0.9509434786000254,7.483543327333504
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.1637372802960222,0.18894653719032853,0.7905973715548864,0.949674791278527,5.323476472100797
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.22109158186864014,0.25188791602779537,0.723086886626523,0.9490803504140173,4.037188223193623
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.2913968547641073,0.3301082190562494,0.6373539113147793,0.948395838620038,2.853400617125225
plantnet,0.05,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.29417206290471787,0.3348556443326952,0.6323889335722304,0.9563383733948168,2.8114232450501415
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0,0.003024648336503003,0.9901319105692852,0.9543906096662782,866.3045448701465
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.0,0.003024648336503003,0.9901319105692852,0.9543906096662782,866.3045448701465
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.0,0.0033127413954198255,0.9896781647031111,0.9545017270118268,852.5629982000514
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.0666049953746531,0.08240294489317976,0.9031314921666161,0.953649285976957,15.838454615582412
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.07400555041628122,0.09068969369024453,0.894404449732564,0.9536601294055387,12.619696580097711
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.11008325624421832,0.13059949981159755,0.8526754515848965,0.9540429430268274,8.504307019799434
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.1572617946345976,0.18086599082408192,0.799787845559366,0.9546536288695439,6.025713551041399
