dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.952587477156833,3.8080483414759576,gray,o,0.825,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.9534417343684093,5.0928902031370535,gray,o,0.9299999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.9545478782922305,6.483800462843918,gray,o,0.9649999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.9556672710833212,8.357000514271022,gray,o,0.9824999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.9568558690083027,11.80496271535099,gray,o,0.9929999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.9586551529329366,28.44005528413474,gray,o,0.9992999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.05,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.9599857874422881,896.6678130624839,gray,o,1.0,mean
plantnet,train_marginal_cov,MarginalCov,0.01,standard,Standard,Standard,,0.992687125128843,13.404442015942402,blue,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.01,classwise,Classwise,Classwise,,0.995580782758177,1027.7203651324248,red,X,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.01,clustered,Clustered,Clustered,,0.9894456416029025,13.732771920802262,purple,P,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.01,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.9912879246259119,18.44619439444587,orange,^,0.8,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.992687125128843,13.404442015942402,gray,o,0.3,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.9920581983380121,13.771985086140395,gray,o,0.475,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.9921675163438409,15.819233736178965,gray,o,0.6499999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.9927940141044347,20.568687323219336,gray,o,0.825,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.9933699472998279,29.308176909231165,gray,o,0.9299999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.9937314848449711,38.171220107996916,gray,o,0.9649999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.9941849690018518,49.4412123939316,gray,o,0.9824999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.9944777238171048,68.75269992285935,gray,o,0.9929999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.9949895513266153,143.90482771920801,gray,o,0.9992999999999999,mean
plantnet,train_marginal_cov,MarginalCov,0.01,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.995580782758177,1027.7203651324248,gray,o,1.0,mean
