alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_mean
0.2,standard,0.574468085106383,0.45800694873822245,0.370907044123001,0.8088382855547708,0.9899395731550528
0.2,classwise,0.0064754856614246065,0.02099182598317595,0.9140100474109935,0.8093070089267425,568.8219658009771
0.2,clustered,0.5716928769657724,0.4562122185275024,0.37317164499804684,0.8102623394761387,0.9948572897917203
0.2,prevalence-adjusted,0.18593894542090658,0.1740650275942258,0.7273814425776395,0.8017292804758331,2.135060426844947
0.2,cvx-cw_weight=0,0.5957446808510638,0.4725710053989783,0.3543875912901836,0.8045178189857597,0.9822897917202366
0.2,cvx-cw_weight=0.25,0.5689176688251619,0.4541421006921804,0.37354864667699406,0.804265127894437,0.9907752635638982
0.2,cvx-cw_weight=0.5,0.5263644773358002,0.4256949458146963,0.40500125994186287,0.8037734600459796,1.0190280277706352
0.2,cvx-cw_weight=0.75,0.46253469010175763,0.3849986498074893,0.4486092155627842,0.8016204519358983,1.0970365132424789
0.2,cvx-cw_weight=0.9,0.364477335800185,0.3199520706538831,0.5250009154289196,0.8044903672819416,1.238621753664181
0.2,cvx-cw_weight=0.95,0.3274745605920444,0.28906086581677976,0.5622664603427745,0.8034135848008798,1.381653381331962
0.2,cvx-cw_weight=0.975,0.2858464384828862,0.25848868402537234,0.5994138826784651,0.8017034470300695,1.5606518385188994
0.2,cvx-cw_weight=0.99,0.2303422756706753,0.21484605308151553,0.6559844876279862,0.8019741866464152,1.8448187194651582
0.2,cvx-cw_weight=0.999,0.1461609620721554,0.14834496477052794,0.7436178585180755,0.8044957752155486,2.9040563126767807
0.2,cvx-cw_weight=1,0.024051803885291396,0.03209501235279072,0.9049855244782916,0.8007383341169166,569.2109796862946
0.1,standard,0.40425531914893614,0.4097372114255502,0.5125876881581647,0.906426660593249,1.5440344561583954
0.1,classwise,0.0,0.00689801723127528,0.9715540477932023,0.9095992006682257,718.3894960143996
0.1,clustered,0.39777983348751156,0.40561753106133613,0.5133251322910791,0.8815622965694894,1.5693623039341733
0.1,prevalence-adjusted,0.16651248843663274,0.19288155670261606,0.7549574170136717,0.9017647123852495,2.5721907945487272
0.1,cvx-cw_weight=0,0.4227567067530065,0.42104520795521583,0.5004012176376987,0.9050291946092573,1.5449344304448445
0.1,cvx-cw_weight=0.25,0.3876040703052729,0.3948547757983613,0.5276139842324223,0.899982333314939,1.5333954744150167
0.1,cvx-cw_weight=0.5,0.35522664199814985,0.3690961630513445,0.5551646536293712,0.8965983394994324,1.6060683980457702
0.1,cvx-cw_weight=0.75,0.3098982423681776,0.32440023215555897,0.604138181365407,0.8957364833466208,1.8101375674980715
0.1,cvx-cw_weight=0.9,0.2645698427382054,0.28564676552809026,0.6472914557081836,0.8959854199986667,2.1174145024427875
0.1,cvx-cw_weight=0.95,0.22201665124884365,0.24010205970748924,0.6996154267069978,0.8981574037859823,2.4656724093597324
0.1,cvx-cw_weight=0.975,0.19148936170212766,0.21177215399615792,0.7319989748582514,0.8996376537392936,2.891970943687323
0.1,cvx-cw_weight=0.99,0.15818686401480112,0.1783742147064909,0.7709733763778218,0.9020851122127,3.6075790691694523
0.1,cvx-cw_weight=0.999,0.09898242368177614,0.11220699858395745,0.8496136992703306,0.9059776919096449,6.553227050655695
0.1,cvx-cw_weight=1,0.0037002775208140612,0.010404456804087532,0.9695566077829468,0.9077984915569486,718.790530984829
0.05,standard,0.2849213691026827,0.3255536835519151,0.6428768921062002,0.95705475076544,2.7991771663666754
0.05,classwise,0.0,0.0022173245104140306,0.9913206870758768,0.9591006224722967,855.6103111339676
0.05,clustered,0.28677150786308975,0.327918689184765,0.638161079928126,0.9349109027051695,2.3945101568526614
0.05,prevalence-adjusted,0.11840888066604996,0.15405458276267098,0.8241692345713624,0.9503434484159737,4.12831061969658
0.05,cvx-cw_weight=0,0.2682701202590194,0.31178343474741205,0.6571171298311432,0.9583157633616534,2.9146952944201594
0.05,cvx-cw_weight=0.25,0.25254394079555964,0.29293817191398086,0.676646970005214,0.9528484879258694,2.8246335818976602
0.05,cvx-cw_weight=0.5,0.23219241443108232,0.27006502445681047,0.7014181978511229,0.9511369687912572,3.0335240421702236
0.05,cvx-cw_weight=0.75,0.20074005550416282,0.23234666914404853,0.742423177294183,0.9503694620510444,3.589611725379275
0.05,cvx-cw_weight=0.9,0.16743755781683625,0.2009079550591743,0.7756200201994669,0.9511496284130605,4.2729172023656465
0.05,cvx-cw_weight=0.95,0.1498612395929695,0.17805638194641857,0.8008618829571598,0.9522963415231473,5.160902545641553
0.05,cvx-cw_weight=0.975,0.1341350601295097,0.15656333057469282,0.8246522477345719,0.9534403808551953,6.282077654924145
0.05,cvx-cw_weight=0.99,0.11100832562442182,0.13011254222634738,0.8535463878056623,0.9547293984108796,8.24559655438416
0.05,cvx-cw_weight=0.999,0.07030527289546716,0.08244733626820357,0.9054655513595016,0.9568502306862654,16.755560555412703
0.05,cvx-cw_weight=1,0.0,0.0025097920324273614,0.991503361573404,0.9590049392939497,855.981839804577
0.01,standard,0.11655874190564293,0.1419156180053503,0.8555723583498376,0.9916867185499582,13.352147081511957
0.01,classwise,0.0,0.00011228978211020477,0.9995756367418072,0.9957130293815419,1008.1281177680638
0.01,clustered,0.11655874190564293,0.14251425654169053,0.854843921695225,0.9897315260966489,13.10921830804834
0.01,prevalence-adjusted,0.058279370952821465,0.07306752219936477,0.9251584731657472,0.9918567443232105,17.48916816662381
0.01,cvx-cw_weight=0,0.1026827012025902,0.13004932966781357,0.8676385499309583,0.99299614472647,14.96229750578555
