alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_train_mean
0.2,standard,0.1866977829638273,0.14969626168224304,0.6765227537922986,0.7966812336906969,1.3011823183575943
0.2,classwise,0.004667444574095682,0.02371495327102805,0.8619953325554259,0.8147409689690948,198.34860992863207
0.2,classwise-exact,0.044340723453908985,0.06378504672897199,0.7777946324387397,0.7981288395636181,74.8483327569403
0.2,clustered,0.18903150525087514,0.15070093457943928,0.6752975495915986,0.7958937969629326,1.2941688936397648
0.2,prevalence-adjusted,0.058343057176196034,0.07674065420560751,0.7594049008168028,0.796604521017386,1.5322831452196057
0.2,fuzzy-rarity-1e-30,0.004667444574095682,0.022418224299065436,0.8645857642940491,0.8170500833149936,198.41255918508503
0.2,fuzzy-rarity-1e-15,0.004667444574095682,0.02321261682242992,0.8633605600933488,0.8166187317257207,198.400282202031
0.2,fuzzy-rarity-1e-10,0.003500583430571762,0.02080607476635515,0.8687747957992998,0.8187832866978967,199.59713434149717
0.2,fuzzy-rarity-1e-05,0.022170361726954493,0.04815420560747665,0.7939556592765462,0.8057752067155028,7.343954852705378
0.2,fuzzy-rarity-0.0001,0.0338389731621937,0.05912383177570095,0.779066511085181,0.8003857641399692,1.858785864746754
0.2,fuzzy-rarity-0.001,0.056009334889148193,0.07435747663551404,0.7626371061843641,0.7982290061936053,1.6186330681925363
0.2,fuzzy-rarity-0.01,0.07817969661610269,0.08614485981308412,0.7493465577596267,0.7969383469047695,1.516567862420222
0.2,fuzzy-rarity-0.1,0.1073512252042007,0.106588785046729,0.7257292882147025,0.7941226145188167,1.4072634325777345
0.2,fuzzy-rarity-10,0.1808634772462077,0.14678738317757012,0.6793698949824971,0.7890813342974817,1.2613138617285504
0.2,fuzzy-rarity-1000,0.1866977829638273,0.1495911214953271,0.6766627771295216,0.7967937246518062,1.3008755934228313
0.2,fuzzy-RErarity-1e-30,0.023337222870478413,0.03865654205607478,0.8632788798133021,0.7913208413242369,308.72594296852895
0.2,fuzzy-RErarity-1e-15,0.023337222870478413,0.03865654205607478,0.8632788798133021,0.7913208413242369,308.72594296852895
0.2,fuzzy-RErarity-1e-10,0.023337222870478413,0.03873831775700936,0.8626254375729288,0.7908803093658628,307.6031001351904
0.2,fuzzy-RErarity-1e-05,0.03267211201866978,0.05556074766355142,0.7890665110851809,0.7928831389316817,9.337438614141542
0.2,fuzzy-RErarity-0.0001,0.029171528588098017,0.059731308411214976,0.78024504084014,0.7959871097557141,1.8887344924073317
0.2,fuzzy-RErarity-0.001,0.059509918319719954,0.07526869158878507,0.7624620770128355,0.797660200584777,1.5661694595529285
0.2,fuzzy-RErarity-0.01,0.07934655775962661,0.09148364485981313,0.744830805134189,0.79443242053636,1.4625874178639922
0.2,fuzzy-RErarity-0.1,0.12135355892648775,0.115338785046729,0.7173278879813302,0.7955685855314867,1.3700950105322727
0.2,fuzzy-RErarity-10,0.176196032672112,0.14800233644859817,0.6801866977829639,0.796523281038765,1.289787216650423
0.2,fuzzy-RErarity-1000,0.1808634772462077,0.1527686915887851,0.6749358226371063,0.7980362813217217,1.2907956110290186
0.2,cvx-cw_weight=0,0.18786464410735124,0.15172897196261684,0.6749824970828472,0.7993383846323137,1.2998045084415382
0.2,cvx-cw_weight=0.25,0.176196032672112,0.14280373831775703,0.6815869311551925,0.7947529160247744,1.2951032162731473
0.2,cvx-cw_weight=0.5,0.16102683780630106,0.13093457943925235,0.6931155192532089,0.7938221775080957,1.3470283270978087
0.2,cvx-cw_weight=0.75,0.12018669778296383,0.11146028037383181,0.7142707117852974,0.7960709277831923,1.4836551702455434
0.2,cvx-cw_weight=0.9,0.08401400233372229,0.09116822429906545,0.7394399066511086,0.8001302229069073,1.724460779073789
0.2,cvx-cw_weight=0.95,0.06884480746791131,0.07860981308411218,0.7558926487747958,0.8019841544314144,1.9531113276951613
0.2,cvx-cw_weight=0.975,0.050175029171528586,0.06765186915887851,0.7714235705950993,0.804104945452259,2.2183779671141575
0.2,cvx-cw_weight=0.99,0.046674445740956826,0.057500000000000016,0.7877129521586931,0.8053979941522307,2.6466304272644385
0.2,cvx-cw_weight=0.999,0.03267211201866978,0.04379672897196263,0.8171528588098016,0.8074283019461125,4.234576162479957
0.2,cvx-cw_weight=1,0.021003500583430573,0.03268691588785048,0.8569894982497084,0.8084654950168202,198.7235375231867
0.1,standard,0.057176196032672114,0.1033761682242991,0.8111785297549592,0.8956054956456125,3.217485207658691
0.1,classwise,0.0,0.008948598130841126,0.953710618436406,0.9187473197723772,382.7711378627346
0.1,classwise-exact,0.028004667444574097,0.04894859813084114,0.8773395565927654,0.899723582859119,191.5094526990914
0.1,clustered,0.058343057176196034,0.10336448598130842,0.8087164527421236,0.8908488697456535,3.182272518627975
0.1,prevalence-adjusted,0.015169194865810968,0.04994158878504674,0.8693465577596265,0.8968804980035842,4.09261401578269
0.1,fuzzy-rarity-1e-30,0.0,0.008936915887850472,0.9537222870478412,0.9187861162637156,382.7712195428679
0.1,fuzzy-rarity-1e-15,0.0,0.008831775700934581,0.9541306884480747,0.9194366648850881,383.1431766592259
0.1,fuzzy-rarity-1e-10,0.0,0.0088785046728972,0.9538273045507584,0.9189217467852988,382.7748843965165
0.1,fuzzy-rarity-1e-05,0.005834305717619603,0.024824766355140197,0.9049824970828471,0.9084028672933631,20.25042166818625
0.1,fuzzy-rarity-0.0001,0.007001166861143524,0.03245327102803739,0.8906067677946324,0.9024998899613292,5.773449932404817
